Video ID,Title,Published,Views,Length,Watch,From Your Title,Product,Product #,Pack #,Hit,Hit Info,Sets & Packs,Greatest Hits,Greatest Hits Rank,Playlist To Add,Affiliate Link,Site Title,Short Description,Feature,Hide,Notes
m41IeIUpqRI,This Mini Tin is GLOWING! ✨ Mega Starmie ex,2026-07-22,692,0:20,watch,Tin  Perfect Order,Mini Tin,,1,Yes,Mega Starmie ex - Double Black Star - Double Rare,Perfect Order,,,,,,,,,
LGGJhVyJwDc,Where Did the Hits Go?! 😱 Mega Greninja Box,2026-07-22,591,0:20,watch,desc: pack 5  ex Premium Collection,ex Premium Collection Box,1,5,No,,Chaos Rising,,,,,,,,,
SQ-_tTDutFA,Only Garbage Rips? 😬 | Pitch Black Pack #2,2026-07-21,653,0:19,watch,title: pack 2  Booster Bundle  Pitch Black,Sleeved Booster Pack,,2,No,,Pitch Black,,,,,,,,,
405aRLjbdmM,From First Pack Magic to THIS... 🗑️,2026-07-21,645,0:21,watch,desc: pack 2  Pitch Black,ETB,1,2,No,,Pitch Black,,,,,,,,,
yrfwnJKXRgo,The Magic is Officially DEAD 💀 Pitch Black,2026-07-21,721,0:20,watch,Booster Bundle  Pitch Black,Booster Bundle,1,2,No,,Pitch Black,,,,,,,,,
92-pjMEGpDI,Perfect Order Luck Ran Out... 🗑️,2026-07-20,819,0:22,watch,desc: pack 6  ex Premium Collection  Phantasmal Flames,ex Premium Collection Box,2,6,No,,Perfect Order,,,,,,,,,
2S4poqmGKWE,The Tin Luck Finally Ran Out! ❌,2026-07-19,688,0:20,watch,Tin  Twilight Masquerade,Poke Ball Tin,,3,No,,Twilight Masquerade,,,,,,,,,
XxYqEIFgWvg,The Mega Greninja Streak is DEAD 💀,2026-07-19,682,0:21,watch,desc: pack 4  ex Premium Collection  Chaos Rising,ex Premium Collection Box,1,4,No,,Chaos Rising,,,,,,,,,
q1WTwiauv3w,I Found First Pack Magic! ✨ Pitch Black ETB,2026-07-18,861,0:23,watch,desc: pack 1  Pitch Black,ETB,1,1,Yes,Mega Chandelure ex - Double Black Star - Double Rare,Pitch Black,,,,,,,,,
EtFK6nFW6IQ,I Can't Stop Hitting! ✨ Pitch Black Booster Bundle,2026-07-18,831,0:22,watch,Booster Bundle  Pitch Black,Booster Bundle,1,1,Yes,Mega Excadrill ex - Double Black Star - Double Rare,Pitch Black,,,,,,,,,
z9fpigSEZ3Y,A Hit is a Hit! 💎 | Mega Zygarde Box #2 Pack #5,2026-07-17,765,0:19,watch,title: #2 pack 5  ex Premium Collection,ex Premium Collection Box,2,5,Yes,Salazzle ex - Double Black Star - Double Rare,Perfect Order,,,,,,,,,
